iter	Logloss
0	0.680915569
1	0.6770806477
2	0.6739525446
3	0.6714010335
4	0.6693197851
5	0.6598450326
6	0.6584734598
7	0.646579774
8	0.6456978281
9	0.6449781235
10	0.6443907557
11	0.6439113539
12	0.6435200158
13	0.6432005434
14	0.6429397162
15	0.6427267552
16	0.6360375425
17	0.6359099241
18	0.6358056986
19	0.6357205711
20	0.6325569316
21	0.6325022503
22	0.623717961
23	0.6181678394
24	0.6181537712
25	0.6181422765
26	0.6156066886
27	0.6155995807
28	0.6111441255
29	0.6090563363
30	0.6069615626
31	0.6069593324
32	0.6032530334
33	0.5997704203
34	0.5997696487
35	0.5997690181
36	0.5997685026
37	0.5996119331
38	0.5978248296
39	0.5978247799
40	0.5978246474
41	0.5978246019
42	0.5977485596
43	0.5977484859
44	0.576469085
45	0.5764690402
46	0.5741078546
47	0.5741078343
48	0.5741078211
49	0.5717129874
50	0.5717129816
51	0.5704236526
52	0.5704236526
53	0.5704236521
54	0.5704236517
55	0.5704236514
56	0.5702321412
57	0.5702321403
58	0.5702321395
59	0.5702321391
60	0.5702321385
61	0.5702321381
62	0.5702321378
63	0.5686468298
64	0.5686468286
65	0.568646824
66	0.5686468203
67	0.5686468172
68	0.5686468153
69	0.5686468132
70	0.5686468114
71	0.568646811
72	0.5686468099
73	0.5686468096
74	0.5681018913
75	0.5681018906
76	0.568101885
77	0.5681018805
78	0.5681018784
79	0.5667700072
80	0.5667699767
81	0.5667699343
82	0.5667699078
83	0.5667698242
84	0.565579083
85	0.5635404216
86	0.5635404191
87	0.5635404167
88	0.5635403928
89	0.5635402438
90	0.5635402014
91	0.5621200101
92	0.5621199616
93	0.5621199249
94	0.5621198728
95	0.56211986
96	0.562119846
97	0.562119833
98	0.5457905722
99	0.5457901137
100	0.5457897931
101	0.5457895375
102	0.5444739712
103	0.5444739705
104	0.5444739697
105	0.5444739668
106	0.5431127348
107	0.543112509
108	0.5431123259
109	0.54311229
110	0.543112173
111	0.5431120497
112	0.5431120195
113	0.5423615984
114	0.5423615922
115	0.542361538
116	0.5423615373
117	0.5423614728
118	0.5423612997
119	0.5409023115
120	0.5409022853
121	0.5393945367
122	0.5393944705
123	0.539394243
124	0.5393942312
125	0.539394118
126	0.5389937608
127	0.5385872976
128	0.5385872817
129	0.5380505876
130	0.5380504156
131	0.5380503906
132	0.5380503898
133	0.538050389
134	0.5380503225
135	0.5380501937
136	0.5380501837
137	0.5380500301
138	0.5380500001
139	0.5380498795
140	0.5380498042
141	0.5380497787
142	0.5380497583
143	0.5380497318
144	0.5380497206
145	0.5380496836
146	0.5380496345
147	0.5380496247
148	0.5380496102
149	0.5380496071
150	0.5380495924
151	0.5378557879
152	0.5378557448
153	0.5377926315
154	0.5377926174
155	0.5376774221
156	0.5248306757
157	0.5248306082
158	0.5248303767
159	0.5248302799
160	0.5248301076
161	0.5248300986
162	0.5248300634
163	0.5248299958
164	0.5248298754
165	0.5248298459
166	0.5248297985
167	0.5248297732
168	0.5248297729
169	0.5233180368
170	0.5233179622
171	0.5233179214
172	0.5233178914
173	0.5222149274
174	0.522214913
175	0.5222148851
176	0.5222148292
177	0.522208423
178	0.5222083791
179	0.5222083683
180	0.52146624
181	0.5111210855
182	0.5111210731
183	0.5111210203
184	0.5110709642
185	0.5110700403
186	0.5110671011
187	0.5110670884
188	0.5110670638
189	0.5110669884
190	0.5110669784
191	0.5110669588
192	0.5110669412
193	0.5108643592
194	0.5107211761
195	0.5107211308
196	0.5107210942
197	0.5107210937
198	0.5107210749
199	0.510721052
200	0.5107209583
201	0.5107209492
202	0.5107209326
203	0.5097036953
204	0.5097036808
205	0.5097036579
206	0.5097036556
207	0.5012985741
208	0.5012985032
209	0.5012984775
210	0.5012983972
211	0.5012983951
212	0.501298393
213	0.5012983275
214	0.5012983177
215	0.5012439287
216	0.5012439005
217	0.5012438828
218	0.5012438781
219	0.501243877
220	0.5012438412
221	0.5012438325
222	0.5006293072
223	0.5006292933
224	0.4938661579
225	0.4938661563
226	0.4938661548
227	0.4938661046
228	0.493866099
229	0.4938660962
230	0.493866058
231	0.4938659784
232	0.493865913
233	0.4938658945
234	0.4938658447
235	0.4883865257
236	0.4883864978
237	0.4883864798
238	0.4883754269
239	0.4883753839
240	0.4883753325
